host,target,host-space,host-wall,host-door,host-window,target-space,target-wall,target-door,target-window
1395447,4120311,1,0,0,0,1,0,0,0
1395447,854901,1,0,0,0,0,1,0,0
1395447,854360,1,0,0,0,0,1,0,0
3994864,854360,0,1,0,0,0,1,0,0
1395447,1646444,1,0,0,0,0,1,0,0
1395447,4119655,1,0,0,0,0,1,0,0
1395447,2303605,1,0,0,0,0,1,0,0
4024601,4124241,1,0,0,0,0,1,0,0
332818,341137,0,1,0,0,0,1,0,0
375041,3993180,0,1,0,0,0,1,0,0
819113,850270,0,1,0,0,0,1,0,0
3992727,4082386,0,1,0,0,0,1,0,0
3993316,4082386,0,1,0,0,0,1,0,0
3992727,4120481,0,1,0,0,0,1,0,0
3993316,4120481,0,1,0,0,0,1,0,0
607437,607822,0,1,0,0,0,0,1,0
